alias,generic_name,type
SILICEA,SILICEA,brand_name
SILICON DIOXIDE,SILICEA,substance
Betadine,POVIDONE-IODINE,brand_name
POVIDONE-IODINE,POVIDONE-IODINE,substance
Naproxen,NAPROXEN,brand_name
NAPROXEN,NAPROXEN,substance
Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,brand_name
BENZALKONIUM CHLORIDE,BENZALKONIUM CHLORIDE,substance
Quick Action,SALICYLIC ACID,brand_name
SALICYLIC ACID,SALICYLIC ACID,substance
Mekinist,TRAMETINIB,brand_name
TRAMETINIB DIMETHYL SULFOXIDE,TRAMETINIB,substance
Glimepiride,GLIMEPIRIDE,brand_name
GLIMEPIRIDE,GLIMEPIRIDE,substance
Methocarbamol,METHOCARBAMOL,brand_name
METHOCARBAMOL,METHOCARBAMOL,substance
anti itch,HYDROCORTISONE,brand_name
HYDROCORTISONE,HYDROCORTISONE,substance
Varenicline,VARENICLINE,brand_name
VARENICLINE TARTRATE,VARENICLINE,substance
Rescue Sleep,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",brand_name
AESCULUS HIPPOCASTANUM FLOWER,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",substance
CLEMATIS VITALBA FLOWER,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",substance
HELIANTHEMUM NUMMULARIUM FLOWER,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",substance
IMPATIENS GLANDULIFERA FLOWER,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",substance
ORNITHOGALUM UMBELLATUM WHOLE,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",substance
PRUNUS CERASIFERA FLOWER,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",substance
Pain Reliever Extra Strength,ACETAMINOPHEN,brand_name
ACETAMINOPHEN,ACETAMINOPHEN,substance
OASIS Tears Lubricant Eye,GLYCERIN,brand_name
GLYCERIN,GLYCERIN,substance
Thera Plus Maximum Strength Feminine Anti-Itch,"BENZOCAINE, RESORCINOL",brand_name
BENZOCAINE,"BENZOCAINE, RESORCINOL",substance
RESORCINOL,"BENZOCAINE, RESORCINOL",substance
tamsulosin hydrochloride,TAMSULOSIN HYDROCHLORIDE,brand_name
TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,substance
"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,brand_name
ALUMINUM CHLOROHYDRATE,ALUMINUM CHLOROHYDRATE,substance
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,brand_name
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,substance
Lights Povindone Iodine Scrub,POVIDONE-IODINE,brand_name
POVIDONE-IODINE,POVIDONE-IODINE,substance
Calcium Acetate,CALCIUM ACETATE,brand_name
CALCIUM ACETATE,CALCIUM ACETATE,substance
ENTRESTO,SACUBITRIL AND VALSARTAN,brand_name
SACUBITRIL,SACUBITRIL AND VALSARTAN,substance
VALSARTAN,SACUBITRIL AND VALSARTAN,substance
VERADEX-E,PETROLATUM AND LANOLIN,brand_name
LANOLIN,PETROLATUM AND LANOLIN,substance
PETROLATUM,PETROLATUM AND LANOLIN,substance
Etodolac,ETODOLAC,brand_name
ETODOLAC,ETODOLAC,substance
basic care acetaminophen,ACETAMINOPHEN,brand_name
ACETAMINOPHEN,ACETAMINOPHEN,substance
Anticavity Rinse,SODIUM FLUORIDE,brand_name
SODIUM FLUORIDE,SODIUM FLUORIDE,substance
Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,brand_name
SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,substance
Antibacterial 2X,BENZALKONIUM CHLORIDE,brand_name
BENZALKONIUM CHLORIDE,BENZALKONIUM CHLORIDE,substance
Acid Reducer,ESOMEPRAZOLE MAGNESIUM,brand_name
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,substance
FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00,"OCTISALATE, TITANIUM DIOXIDE",brand_name
OCTISALATE,"OCTISALATE, TITANIUM DIOXIDE",substance
TITANIUM DIOXIDE,"OCTISALATE, TITANIUM DIOXIDE",substance
Foster and Thrive Dry Eye Relief,POLYETHYLENE GLYCOL 400,brand_name
POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,substance
Foster and Thrive Advanced Relief Eye Drops,"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",brand_name
POLYETHYLENE GLYCOL 400,"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",substance
TETRAHYDROZOLINE HYDROCHLORIDE,"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",substance
Nicotine,NICOTINE POLACRILEX,brand_name
NICOTINE,NICOTINE POLACRILEX,substance
Isopropyl Alcohol,ISOPROPYL ALCOHOL,brand_name
ISOPROPYL ALCOHOL,ISOPROPYL ALCOHOL,substance
Fludrocortisone Acetate,FLUDROCORTISONE ACETATE,brand_name
FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,substance
LACOSAMIDE,LACOSAMIDE,brand_name
LACOSAMIDE,LACOSAMIDE,substance
CeraVe Developed with Dermatologists Acne Control Cleanser,SALICYLIC ACID,brand_name
SALICYLIC ACID,SALICYLIC ACID,substance
Naproxen Sodium 220mg,NAPROXEN SODIUM 220MG,brand_name
NAPROXEN SODIUM,NAPROXEN SODIUM 220MG,substance
Suds High Foaming Antiseptic Hand and Body Wash,CHLOROXYLENOL,brand_name
CHLOROXYLENOL,CHLOROXYLENOL,substance
Leader Earwax Removal Drops Earwax Removal Aid,CARBAMIDE PEROXIDE,brand_name
CARBAMIDE PEROXIDE,CARBAMIDE PEROXIDE,substance
Amphetamine Sulfate,AMPHETAMINE SULFATE,brand_name
AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,substance
Dove,EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,brand_name
ALUMINUM SESQUICHLOROHYDRATE,EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,substance
Dove,EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,brand_name
