generic_name,brand_names,substance,drug_class,product_type
SILICEA,SILICEA,SILICON DIOXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
POVIDONE-IODINE,Betadine,POVIDONE-IODINE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
NAPROXEN,Naproxen,NAPROXEN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
BENZALKONIUM CHLORIDE,Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
SALICYLIC ACID,Quick Action,SALICYLIC ACID,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
TRAMETINIB,Mekinist,TRAMETINIB DIMETHYL SULFOXIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
GLIMEPIRIDE,Glimepiride,GLIMEPIRIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
METHOCARBAMOL,Methocarbamol,METHOCARBAMOL,Unknown,HUMAN PRESCRIPTION DRUG
HYDROCORTISONE,anti itch,HYDROCORTISONE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
VARENICLINE,Varenicline,VARENICLINE TARTRATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",Rescue Sleep,AESCULUS HIPPOCASTANUM FLOWER|CLEMATIS VITALBA FLOWER|HELIANTHEMUM NUMMULARIUM FLOWER|IMPATIENS GLANDULIFERA FLOWER|ORNITHOGALUM UMBELLATUM WHOLE|PRUNUS CERASIFERA FLOWER,Unknown,HUMAN OTC DRUG
ACETAMINOPHEN,Pain Reliever Extra Strength,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
GLYCERIN,OASIS Tears Lubricant Eye,GLYCERIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
